iter	Passed	Remaining
734	9631	3472
735	9643	3458
736	9654	3445
737	9666	3431
738	9679	3418
739	9690	3404
740	9702	3391
741	9714	3377
742	9727	3364
743	9739	3351
744	9752	3338
745	9764	3324
746	9778	3311
747	9790	3298
748	9802	3285
749	9815	3271
750	9829	3258
751	9843	3246
752	9855	3232
753	9867	3219
754	9880	3206
755	9893	3193
756	9906	3179
757	9918	3166
758	9929	3152
759	9942	3139
760	9954	3126
761	9965	3112
762	9976	3099
763	9989	3085
764	10001	3072
765	10014	3059
766	10027	3046
767	10040	3033
768	10053	3019
769	10065	3006
770	10076	2992
771	10089	2979
772	10100	2966
773	10113	2953
774	10128	2940
775	10152	2930
776	10168	2918
777	10186	2906
778	10200	2893
779	10214	2881
780	10227	2867
781	10239	2854
782	10252	2841
783	10265	2828
784	10278	2815
785	10292	2802
786	10306	2789
787	10321	2776
788	10334	2763
789	10350	2751
790	10364	2738
791	10378	2725
792	10391	2712
793	10407	2700
794	10425	2688
795	10439	2675
796	10455	2662
797	10468	2649
798	10482	2637
799	10497	2624
800	10511	2611
801	10525	2598
802	10539	2585
803	10553	2572
804	10567	2559
805	10584	2547
806	10598	2534
807	10614	2522
808	10633	2510
809	10650	2498
810	10665	2485
811	10689	2475
812	10705	2462
813	10721	2449
814	10736	2437
815	10749	2423
816	10763	2410
817	10777	2398
818	10792	2385
819	10807	2372
820	10823	2359
821	10840	2347
822	10856	2334
823	10871	2322
824	10886	2309
825	10904	2297
826	10922	2284
827	10938	2272
828	10955	2259
829	10974	2247
830	10990	2235
831	11008	2222
832	11024	2210
833	11040	2197
834	11056	2184
835	11073	2172
836	11087	2159
837	11101	2146
838	11116	2133
839	11131	2120
840	11146	2107
841	11161	2094
842	11177	2081
843	11192	2068
844	11205	2055
845	11218	2042
846	11231	2028
847	11245	2015
848	11257	2002
849	11268	1988
850	11280	1975
851	11292	1961
852	11303	1947
853	11314	1934
854	11326	1920
855	11338	1907
856	11350	1893
857	11361	1880
858	11375	1867
859	11387	1853
860	11400	1840
861	11412	1826
862	11424	1813
863	11437	1800
864	11450	1787
865	11463	1773
866	11475	1760
867	11487	1746
868	11499	1733
869	11511	1720
870	11524	1706
871	11536	1693
872	11548	1679
873	11560	1666
874	11571	1653
875	11582	1639
876	11595	1626
877	11608	1613
878	11620	1599
879	11633	1586
880	11645	1573
881	11659	1559
882	11670	1546
883	11682	1533
884	11694	1519
885	11706	1506
886	11717	1492
887	11728	1479
888	11740	1465
889	11751	1452
890	11762	1438
891	11774	1425
892	11786	1412
893	11797	1398
894	11807	1385
895	11818	1371
896	11831	1358
897	11843	1345
898	11856	1331
899	11868	1318
900	11882	1305
901	11895	1292
902	11908	1279
903	11919	1265
904	11931	1252
905	11942	1239
906	11953	1225
907	11964	1212
908	11976	1198
909	11988	1185
910	12000	1172
911	12013	1159
912	12024	1145
913	12037	1132
914	12049	1119
915	12061	1106
916	12074	1092
917	12088	1079
918	12100	1066
919	12112	1053
920	12123	1039
921	12135	1026
922	12147	1013
923	12159	1000
924	12171	986
925	12184	973
926	12195	960
927	12208	947
928	12221	934
929	12234	920
930	12247	907
931	12258	894
932	12272	881
933	12284	868
934	12298	854
935	12311	841
936	12323	828
937	12336	815
938	12348	802
939	12361	789
940	12374	775
941	12387	762
942	12401	749
943	12415	736
944	12430	723
945	12445	710
946	12463	697
947	12479	684
948	12495	671
949	12516	658
950	12533	645
951	12548	632
952	12564	619
953	12578	606
954	12594	593
955	12609	580
956	12629	567
957	12645	554
958	12660	541
959	12676	528
960	12690	515
961	12706	501
962	12722	488
963	12740	475
964	12755	462
965	12770	449
966	12784	436
967	12797	423
968	12810	409
969	12825	396
970	12838	383
971	12851	370
972	12864	356
973	12878	343
974	12890	330
975	12906	317
976	12921	304
977	12937	291
978	12955	277
979	12969	264
980	12981	251
981	12996	238
982	13010	225
983	13025	211
984	13039	198
985	13056	185
986	13072	172
987	13087	158
988	13102	145
989	13117	132
990	13135	119
991	13151	106
992	13165	92
993	13179	79
994	13193	66
995	13208	53
996	13225	39
997	13242	26
998	13259	13
999	13274	0
